xStart;yStart;xEnde;yEnde;Zeit
Bewegung bei y=0
0;510;120;510;0.241859912872
0;510;130;510;0.253906965256
0;510;140;510;0.257910013199
0;510;150;510;0.265923976898
0;510;160;510;0.277878046036
0;510;170;510;0.28289103508
0;510;180;510;0.297924995422
0;510;190;510;0.295238018036
0;510;200;510;0.314162015915
0;510;210;510;0.318183898926
0;510;220;510;0.329852819443
0;510;230;510;0.338894844055
0;510;240;510;0.350896835327
0;510;250;510;0.362847089767
0;510;260;510;0.390748977661


Bewegung bei y=540
0;540;0;540;0.0568821430206
0;540;10;540;0.148411035538
0;540;20;540;0.156946897507
0;540;30;540;0.168792009354
0;540;40;540;0.185920953751
0;540;50;540;0.194029808044
0;540;60;540;0.20191693306
0;540;70;540;0.205925941467
0;540;80;540;0.216924905777
0;540;90;540;0.22191119194
0;540;100;540;0.224795103073
0;540;110;540;0.237927913666
0;540;120;540;0.241936922073
0;540;130;540;0.253920793533
0;540;140;540;0.257905960083
0;540;150;540;0.269919872284
0;540;160;540;0.278125047684
0;540;170;540;0.282140016556
0;540;180;540;0.29412817955
0;540;190;540;0.298021793365
0;540;200;540;0.309893131256
0;540;210;540;0.317783117294
0;540;220;540;0.329890012741
0;540;230;540;0.342883110046
0;540;240;540;0.346892118454
0;540;250;540;0.362900018692
0;540;260;540;0.374873876572


Bewegung bei y=570
0;570;0;570;0.0526850223541
0;570;10;570;0.148576974869
0;570;20;570;0.156910181046
0;570;30;570;0.165889024734
0;570;40;570;0.180912017822
0;570;50;570;0.188979148865
0;570;60;570;0.192874908447
0;570;70;570;0.201977014542
0;570;80;570;0.209905862808
0;570;90;570;0.216763973236
0;570;100;570;0.225908994675
0;570;110;570;0.232963085175
0;570;120;570;0.246224164963
0;570;130;570;0.250104904175
0;570;140;570;0.258121013641
0;570;150;570;0.269781112671
0;570;160;570;0.277919054031
0;570;170;570;0.283045053482
0;570;180;570;0.289910078049
0;570;190;570;0.302896976471
0;570;200;570;0.307041168213
0;570;210;570;0.319012880325
0;570;220;570;0.326901197433
0;570;230;570;0.338927984238
0;570;240;570;0.355030059814
0;570;250;570;0.362902879715
0;570;260;570;0.378900051117


Bewegung bei y=600
0;600;0;600;0.053092956543
0;600;10;600;0.148186922073
0;600;20;600;0.158040046692
0;600;30;600;0.160905122757
0;600;40;600;0.177946805954
0;600;50;600;0.189095973969
0;600;60;600;0.197089195251
0;600;70;600;0.204988002777
0;600;80;600;0.214104175568
0;600;90;600;0.214148044586
0;600;100;600;0.224934101105
0;600;110;600;0.23389005661
0;600;120;600;0.241832971573
0;600;130;600;0.245889902115
0;600;140;600;0.253905057907
0;600;150;600;0.269889116287
0;600;160;600;0.269873142242
0;600;170;600;0.286904096603
0;600;180;600;0.289879083633
0;600;190;600;0.301771879196
0;600;200;600;0.314898014069
0;600;210;600;0.318910121918
0;600;220;600;0.330867052078
0;600;230;600;0.341892004013
0;600;240;600;0.354856967926
0;600;250;600;0.363062143326
0;600;260;600;0.379162073135


Bewegung bei y=630
0;630;0;630;0.0574059486389
0;630;10;630;0.148092031479
0;630;20;630;0.153033018112
0;630;30;630;0.162003993988
0;630;40;630;0.176891088486
0;630;50;630;0.192905902863
0;630;60;630;0.196902990341
0;630;70;630;0.206020116806
0;630;80;630;0.213876008987
0;630;90;630;0.220767021179
0;630;100;630;0.225887060165
0;630;110;630;0.232774972916
0;630;120;630;0.237914800644
0;630;130;630;0.245904922485
0;630;140;630;0.253890037537
0;630;150;630;0.265891075134
0;630;160;630;0.273874044418
0;630;170;630;0.285754919052
0;630;180;630;0.289865016937
0;630;190;630;0.301853179932
0;630;200;630;0.309771060944
0;630;210;630;0.322889089584
0;630;220;630;0.329761981964
0;630;230;630;0.358850955963
0;630;240;630;0.351292133331
0;630;250;630;0.38304901123
0;630;260;630;0.378863096237


Bewegung bei y=660
0;660;0;660;0.0534019470215
0;660;10;660;0.148988962173
0;660;20;660;0.152793884277
0;660;30;660;0.164883136749
0;660;40;660;0.180780887604
0;660;50;660;0.193902015686
0;660;60;660;0.193894863129
0;660;70;660;0.204807043076
0;660;80;660;0.21400308609
0;660;90;660;0.217872142792
0;660;100;660;0.224758863449
0;660;110;660;0.23387503624
0;660;120;660;0.241873979568
0;660;130;660;0.245875835419
0;660;140;660;0.257866859436
0;660;150;660;0.265868902206
0;660;160;660;0.273903131485
0;660;170;660;0.287057161331
0;660;180;660;0.293899774551
0;660;190;660;0.301784038544
0;660;200;660;0.310146808624
0;660;210;660;0.345901012421
0;660;220;660;0.335281133652
0;660;230;660;0.342866897583
0;660;240;660;0.358845949173
0;660;250;660;0.365742921829
0;660;260;660;0.38689494133


Bewegung bei y=690
0;690;0;690;0.0533571243286
0;690;10;690;0.148923158646
0;690;20;690;0.152793169022
0;690;30;690;0.164885997772
0;690;40;690;0.17276096344
0;690;50;690;0.194036006927
0;690;60;690;0.192785978317
0;690;70;690;0.204902887344
0;690;80;690;0.21391415596
0;690;90;690;0.217895030975
0;690;100;690;0.225987911224
0;690;110;690;0.233889102936
0;690;120;690;0.241868972778
0;690;130;690;0.245889902115
0;690;140;690;0.257906198502
0;690;150;690;0.26611495018
0;690;160;690;0.274081945419
0;690;170;690;0.28612112999
0;690;180;690;0.290086984634
0;690;190;690;0.305876970291
0;690;200;690;0.3138859272
0;690;210;690;0.322994947433
0;690;220;690;0.33887887001
0;690;230;690;0.345742940903
0;690;240;690;0.362892866135
0;690;250;690;0.374847173691
0;690;260;690;0.390879154205


